"fit_id","rows","deaths","countries","surveys","regions","converged","iterations","rank","coefficients","finite_coefficients","finite_covariance","elapsed_seconds","min_smoothing_hessian_eigenvalue","max_smoothing_gradient","warnings","series","age_band","pfpr_basis","gamma","input_verified"
"gamma14_age_5",443341,6363,31,69,587,TRUE,12,711,711,TRUE,TRUE,12.963,0.506924117706644,1.16529008664656e-12,"openMP not available: single threaded computation only","gamma14","24-35","cr",1.4,TRUE
"cs_age_5",443341,6363,31,69,587,TRUE,22,711,711,TRUE,TRUE,20.288,0.822404371326622,0.000177861557560277,"openMP not available: single threaded computation only","cs","24-35","cs",1,TRUE
"reference_age_6",426863,3801,31,69,587,TRUE,18,711,711,TRUE,TRUE,24.314,0.000284443764712221,0.000284598311612733,"openMP not available: single threaded computation only","reference","36-47","cr",1,TRUE
"gamma14_age_6",426863,3801,31,69,587,TRUE,18,711,711,TRUE,TRUE,17.105,0.000110348575885836,0.000110369922607181,"openMP not available: single threaded computation only","gamma14","36-47","cr",1.4,TRUE
"cs_age_6",426863,3801,31,69,587,TRUE,17,711,711,TRUE,TRUE,23.346,0.000133446744403265,0.000133480656709242,"openMP not available: single threaded computation only","cs","36-47","cs",1,TRUE
"reference_age_7",415450,2152,31,69,587,TRUE,22,711,711,TRUE,TRUE,29.452,0.0488611631816642,1.42374407303691e-05,"openMP not available: single threaded computation only","reference","48-59","cr",1,TRUE
"gamma14_age_7",415450,2152,31,69,587,TRUE,22,711,711,TRUE,TRUE,25.786,0.00831047624823893,1.64939276992015e-05,"openMP not available: single threaded computation only","gamma14","48-59","cr",1.4,TRUE
"cs_age_7",415450,2152,31,69,587,TRUE,24,711,711,TRUE,TRUE,25.069,0.0308360165550811,1.15799370803416e-05,"openMP not available: single threaded computation only","cs","48-59","cs",1,TRUE
"gamma2_age_1",620799,18763,31,69,587,TRUE,12,711,711,TRUE,TRUE,18.05,0.000517266358850746,0.000564998989485588,"openMP not available: single threaded computation only","gamma2","<1","cr",2,TRUE
"gamma2_age_2",552179,8278,31,69,587,TRUE,14,711,711,TRUE,TRUE,18.886,0.000127228240820572,0.000354455639937967,"openMP not available: single threaded computation only","gamma2","1-5","cr",2,TRUE
"gamma2_age_3",524318,8046,31,69,587,TRUE,17,711,711,TRUE,TRUE,23.221,0.000266711992220743,0.000266793321423137,"openMP not available: single threaded computation only","gamma2","6-11","cr",2,TRUE
"gamma2_age_4",446360,7854,31,69,587,TRUE,21,711,711,TRUE,TRUE,20.835,0.000180944892529931,0.000180997329120819,"openMP not available: single threaded computation only","gamma2","12-23","cr",2,TRUE
"gamma2_age_5",443341,6363,31,69,587,TRUE,15,711,711,TRUE,TRUE,15.792,0.00022437405015559,0.000224876260567027,"openMP not available: single threaded computation only","gamma2","24-35","cr",2,TRUE
"gamma2_age_6",426863,3801,31,69,587,TRUE,22,711,711,TRUE,TRUE,20.447,6.40088207962869e-05,8.89610877435774e-05,"openMP not available: single threaded computation only","gamma2","36-47","cr",2,TRUE
"gamma2_age_7",415450,2152,31,69,587,TRUE,26,711,711,TRUE,TRUE,32.63,2.19082909618197e-05,8.20037168072218e-05,"openMP not available: single threaded computation only","gamma2","48-59","cr",2,TRUE
