original_path,current_path,action,reason,lines,sha256
R/11_malaria_deaths_timeseries.R,R/11_malaria_deaths_timeseries.R,retain_input_bridge,Produces legacy national MAP table still read as a comparison input by CBH burden preparation; mixed legacy fitting code must be separated before retirement.,163,98cb7213e89727df62f4bb74e167fe87190f5d3e55aebe760c6bc802e3078df2
R/12_paper_figure1.R,archive/2026-09-15-code-audit/R/12_paper_figure1.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,82,99f8ffcb7bdab31be703412118a8365eef100c532173af7651299536026277f8
R/14_paper_figure_ihme_share.R,archive/2026-09-15-code-audit/R/14_paper_figure_ihme_share.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,45,5a779ac7e767a857788187d27871af881c845e0deb7953f26e72cd4d6ac2d432
R/15_ihme_share_time.R,archive/2026-09-15-code-audit/R/15_ihme_share_time.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,135,93ad892fe8e5cdf3c1dccf6caddab362c5ab5c98a14de1d5ac1925589aa13425
R/18_expanded_panel.R,archive/2026-09-15-code-audit/R/18_expanded_panel.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,100,73d745346f725f42f3326115991e258805adf94eeb768ee5800a6b81d7123092
R/23_region_health.R,archive/2026-09-15-code-audit/R/23_region_health.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,146,ca44f9e426ef2848594cf722a18dfd626a6add8227073779a734152bb1406e0b
R/25_combined_model.R,archive/2026-09-15-code-audit/R/25_combined_model.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,81,87fe4abe6460eb76db7ed3bb3379e16876e723bf7087eeb88944567861c23c15
R/26_neonatal_outcome.R,archive/2026-09-15-code-audit/R/26_neonatal_outcome.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,84,fe8bb5109e4c00ab688eb043a0f1aa010626eaf84b8298c77dbe0f39794b9df2
R/29_paper_figures.R,archive/2026-09-15-code-audit/R/29_paper_figures.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,165,411b330d345465a1e4a0ca871731377664ee17ecab0e37ff0b9daf8d1911ffd5
R/30_full_covariates.R,archive/2026-09-15-code-audit/R/30_full_covariates.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,116,66c8b3212d6f9bef7eb4aa20db39c5a091fbbbe70cf1389fd5100f8bf4d1677d
R/32_full_model.R,archive/2026-09-15-code-audit/R/32_full_model.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,76,01f96caa764cd59ed1422c32ca8d2281c171762615079eb4953ca8dee8c60566
R/33_penalized_model.R,archive/2026-09-15-code-audit/R/33_penalized_model.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,76,35a9b36f60ced0ce037b5a514f12dfb4beb7b9ca36b8cab0a60a41ede9e8a2dc
R/34_fig2_penalized.R,archive/2026-09-15-code-audit/R/34_fig2_penalized.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,49,c1642d7a165f4ec5ac6da582925f034dd937eb772aa97b31d437a3883691e81d
R/39_penalised_main.R,archive/2026-09-15-code-audit/R/39_penalised_main.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,82,742e28a7aa33e11c70ebcd59182ec866e4a36144b350bd8a9931ce7fb7e83fdf
R_cbh/00_config.R,R_cbh/00_config.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",44,6f70ad3d1c21e46128b75dc44d85951c12f5c2e28fd26420c1b42b31cfb52ce0
R_cbh/01_make_analysis_data.R,R_cbh/01_make_analysis_data.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",22,d10a75a48359d993265dfeac1be8a4678e689069cd29e15820ca747a990b6f02
R_cbh/R/build.R,R_cbh/R/build.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",151,5ed415b38549d4e30edd1845fefc99fc6886b2203de6e23b867650e99f219e0e
R_cbh/R/child_bands.R,R_cbh/R/child_bands.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",182,a3d3b5bfa3c2ff1137a7cc73b6c7b1a7956e914cb0d9d67f1f91e681c888e5e6
R_cbh/R/external_data.R,R_cbh/R/external_data.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",95,91588813393c2a7241ef2a0b2881277427c413c14af65913e4278ce2e7cd2e6b
R_cbh/R/geography.R,R_cbh/R/geography.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",144,744f033061c7de5aad3efb02cdeb1ac4586cf7a36d628840f0848081ca78c4fb
R_cbh/R/load.R,R_cbh/R/load.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",46,1a994f4ca3db7036dbc9a687261a0abc44147c68b99980ebee58f7aa372c89ec
R_cbh/R/utils.R,R_cbh/R/utils.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",103,2cdccc1a5ac58d3ebb4a6f9b59fe0386e42cedacac2f7c832ae87e14cf73b866
R_cbh/analysis/01_fit_complete_case.R,R_cbh/analysis/01_fit_complete_case.R,retain_dependency,"Historical joint-model workflow; its prepared data, baseline fits or imputation outputs remain inputs to retained comparisons/burden. Not a primary gamma=2 command.",91,1983af49af6f3ccf1989abb51cfc7a9bfe9b1f156d5a24105bfb470f3eedfced
R_cbh/analysis/02_plot_trial.R,R_cbh/analysis/02_plot_trial.R,retain_dependency,"Historical joint-model workflow; its prepared data, baseline fits or imputation outputs remain inputs to retained comparisons/burden. Not a primary gamma=2 command.",129,466819cbc762f301c85c04f3d245c0bc7f59d061afb4a2c3760083fe54939c2d
R_cbh/analysis/03_plot_hiv_age_pairs.R,R_cbh/analysis/03_plot_hiv_age_pairs.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",100,b8137e6357afab6c65fcb4e6b8f520cc808ffb25bbe4da57c962a57b12ea4f22
R_cbh/analysis/04_propagate_incidence.R,R_cbh/analysis/04_propagate_incidence.R,retain_dependency,"Historical joint-model workflow; its prepared data, baseline fits or imputation outputs remain inputs to retained comparisons/burden. Not a primary gamma=2 command.",104,6d475bbb252e059ba3eccf025acb200158f8600adbdb55c920b8d3ccf542afc9
R_cbh/analysis/05_report_incidence.R,R_cbh/analysis/05_report_incidence.R,retain_dependency,"Historical joint-model workflow; its prepared data, baseline fits or imputation outputs remain inputs to retained comparisons/burden. Not a primary gamma=2 command.",51,b1afe85ab3d3f8d857f57e43e358a8ab5711b26825c22c66d821f1739d015e62
R_cbh/analysis/model.R,R_cbh/analysis/model.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",172,9583083863c6a76e7d939fca751bd111dbec7327d30e2ce9c8ce8f6738b57074
R_cbh/audit/01_verify_saved_primary.R,R_cbh/audit/01_verify_saved_primary.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",116,16444b31146b3c95764ddaee8b22e852950c0c4bafabe27a11132fb4d713d468
R_cbh/burden/01_country_attributable.R,R_cbh/burden/01_country_attributable.R,retain_dependency,Historical burden workflow includes the only national MAP/IHME age-input preparation used by the current gamma=2 calculation. Defaults are gamma=1.,212,2bfdbef061505eb212028bbbb1f56bd8af4834e405b0dd8602aebe330833c451
R_cbh/burden/02_report_country_attributable.R,R_cbh/burden/02_report_country_attributable.R,retain_dependency,Historical burden workflow includes the only national MAP/IHME age-input preparation used by the current gamma=2 calculation. Defaults are gamma=1.,116,b9fa9fab936ac726ceca4df358b3b13ab48999d523b2337100feef405b95c5e4
R_cbh/burden/03_compare_ihme.R,R_cbh/burden/03_compare_ihme.R,retain_dependency,Historical burden workflow includes the only national MAP/IHME age-input preparation used by the current gamma=2 calculation. Defaults are gamma=1.,115,15620487a3a1f4abbf59c42997fd3f0a9739f6420d5337d6d9f2121b6da38c9b
R_cbh/burden/04_summarize_primary_update.R,R_cbh/burden/04_summarize_primary_update.R,retain_dependency,Historical burden workflow includes the only national MAP/IHME age-input preparation used by the current gamma=2 calculation. Defaults are gamma=1.,104,00597f3c884ea482d8f6089a640340c2448561625c7118e6c93a5fc1c2530873
R_cbh/burden/separate_effects.R,R_cbh/burden/separate_effects.R,retain_dependency,Historical burden workflow includes the only national MAP/IHME age-input preparation used by the current gamma=2 calculation. Defaults are gamma=1.,60,776d73308e2b18b2b733865974138575ecb491ff897b1f72e8cb4137fb3478e5
R_cbh/burden/settings.R,R_cbh/burden/settings.R,retain_dependency,Historical burden workflow includes the only national MAP/IHME age-input preparation used by the current gamma=2 calculation. Defaults are gamma=1.,18,753bcdda49584a079378e86e9aff812e0175b81612bb28a79b79820f93546ccf
R_cbh/hiv/01_fit_incidence.R,R_cbh/hiv/01_fit_incidence.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",75,8d128582ac2a3180c0901956be4118c5069b95c9e168c3347211e48326914171
R_cbh/hiv/02_report_incidence.R,R_cbh/hiv/02_report_incidence.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",89,964d3b794cc830c119450d9b1053fdeb9dc20b53759c19d84b706e3b1a3c7695
R_cbh/hiv/model.R,R_cbh/hiv/model.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",96,6a0f0140705ca2aaedd4968e3403b3e16ada1bf4e13a77c27800a876a0562266
R_cbh/load_pipeline.R,R_cbh/load_pipeline.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",8,368762b20f1c07ebe61cbea6b091e1f45147fd2d37beff8f1180671838012260
R_cbh/reporting/01_study_flow.R,R_cbh/reporting/01_study_flow.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",112,41fb948ddcb39bd7363e8c97e05a2b702976d99bb6e7ac634b9e6e1d4064a3cb
R_cbh/sensitivity/01_fit.R,R_cbh/sensitivity/01_fit.R,retain_dependency,Historical gamma=1 comparison; its separate-age fits supply verified primary reference frames/knots. Gamma=2 subgroup replacement is planned.,115,3452b6bac5d6953bd9eecfa5cdad93f238595be533d6fc25fa8d453cfc37fb3f
R_cbh/sensitivity/02_report.R,R_cbh/sensitivity/02_report.R,retain_dependency,Historical gamma=1 comparison; its separate-age fits supply verified primary reference frames/knots. Gamma=2 subgroup replacement is planned.,159,ebedb84e915a659ae6831a9a05ea4bb5b299f73363fe17fd373be1cd3fc4bf0e
R_cbh/sensitivity/model.R,R_cbh/sensitivity/model.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",56,d16fd19c9cfe1d2d0eb10c40d74fd21a0d6394bd2483db6ec7b42d81b106e830
R_cbh/snow/00_audit_extraction.R,R_cbh/snow/00_audit_extraction.R,retain_active,Required supplementary producer or current primary gamma=2 implementation housed under snow/; not redundant.,97,665d700a28c50b7c68b2ad46dd22a20f1dd734f972e2803a9b875a0374552acc
R_cbh/snow/01_prepare.R,R_cbh/snow/01_prepare.R,retain_active,Required supplementary producer or current primary gamma=2 implementation housed under snow/; not redundant.,100,1dd279f80715b95259ff82996abc052ed547135201887c49406d5bae959d8bd7
R_cbh/snow/02_fit.R,R_cbh/snow/02_fit.R,retain_active,Required supplementary producer or current primary gamma=2 implementation housed under snow/; not redundant.,66,62d299d95982ba7283473cf05d8c6b761fcccd8756be4e75661053cd984befd8
R_cbh/snow/03_report.R,R_cbh/snow/03_report.R,retain_active,Required supplementary producer or current primary gamma=2 implementation housed under snow/; not redundant.,130,c457c4a092091ef266cfc957d865b96e326bb93bda9c02826c0eb8f58d36bce8
R_cbh/snow/04_verify_saved_fits.R,R_cbh/snow/04_verify_saved_fits.R,retain_active,Required supplementary producer or current primary gamma=2 implementation housed under snow/; not redundant.,33,44717a3e7eb5fba6fbc3fa09397c98d130bb761693734d0e2be8d802415f940e
R_cbh/snow/05_check_smoothing.R,R_cbh/snow/05_check_smoothing.R,retain_active,Required supplementary producer or current primary gamma=2 implementation housed under snow/; not redundant.,75,7367c979e75a50c254fc3d3540e8a7fa82bb40645d9f741489c32a781fc84692
R_cbh/snow/06_fit_penalties.R,R_cbh/snow/06_fit_penalties.R,retain_active,Required supplementary producer or current primary gamma=2 implementation housed under snow/; not redundant.,129,32776c24e111d9eef9aa95b8f38ecd58b833627a3fe8fc7c5a7251949933c476
R_cbh/snow/07_report_penalties.R,R_cbh/snow/07_report_penalties.R,retain_active,Required supplementary producer or current primary gamma=2 implementation housed under snow/; not redundant.,133,30f01653139f8099272f70d4edc94e5af4d900c330a22d3714fb44ad47bd7074
R_cbh/snow/08_fit_map_comparison_gamma2.R,R_cbh/snow/08_fit_map_comparison_gamma2.R,retain_active,Required supplementary producer or current primary gamma=2 implementation housed under snow/; not redundant.,124,5870b319435fd7447d08fb649877298eae1c014d4b6a967e46e393c86c99d1ad
R_cbh/snow/09_report_map_comparison_gamma2.R,R_cbh/snow/09_report_map_comparison_gamma2.R,retain_active,Required supplementary producer or current primary gamma=2 implementation housed under snow/; not redundant.,100,8ec3176a10eeef8161cab103f6b5c312b9fb67e3bcbab150c6f812b0ad2a264f
R_cbh/snow/10_compare_burden_gamma2.R,R_cbh/snow/10_compare_burden_gamma2.R,retain_active,Required supplementary producer or current primary gamma=2 implementation housed under snow/; not redundant.,185,64f8e69e7b14a81a39c3d9fc85d8a54d0c079ab089e617996afbc3336f5ad3a9
R_cbh/tests/test_dataset.R,R_cbh/tests/test_dataset.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",169,d05e5eeb6b4511d3c99ce11bf3f66b2bb03ecb37c5d82efd37fbc81e0e3f672a
R_cbh/tests/test_hiv_incidence.R,R_cbh/tests/test_hiv_incidence.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",45,df4465088de8b363d655cd903544167f4c13be5927bc06ba0d1692d4c2f1bc00
R_cbh/tests/test_model.R,R_cbh/tests/test_model.R,retain_active,"Current CBH dataset, HIV, selected fitting, supplementary, validation or reporting implementation.",42,34016be34bebd3212bc14ca0030f97b69bba48c4bf499d3964d43e6a46fc6838
R_dhs/00_config.R,R_dhs/00_config.R,retain_input_bridge,Shared extraction/geographic helpers required by 01/02/03/41/51 and legacy geography tests; inactive model helpers pending separation.,1331,f14be66c13afb4437d2d2d76f657c4a4367e1582738f700ff90eec21d4fad8d2
R_dhs/01_access_dhs_data.R,R_dhs/01_access_dhs_data.R,retain_input_bridge,Survey/recode/boundary registry producer.,130,61c5a59d8c1baf1ff2e1655f0218c6ac17e768ea7ad5700b7f57e92b6e38888c
R_dhs/02_extract_map_pfpr.R,R_dhs/02_extract_map_pfpr.R,retain_input_bridge,Producer of region-definition snapshot used by CBH; known coverage/weighting/cache problems retained for review.,185,d7c315dad2c05b873bdb2f576fb6a06001ff4af265745544ee678d21435d9694
R_dhs/02b_extract_unicef_immunisation.R,R_dhs/02b_extract_unicef_immunisation.R,retain_input_bridge,Producer of optional vaccine snapshot; CBH rejects assumed-zero status rows.,186,d80d06b768569e639a8a61b7f1f58633c8218866368fc9019de3d0af825a9fb8
R_dhs/02c_fetch_statcompiler_covariates.R,R_dhs/02c_fetch_statcompiler_covariates.R,retain_input_bridge,"Producer of optional WASH/wasting snapshot, excluded from primary adjustment.",66,3f8616f7a58f785ae33a6b913ffee8ed6f242e66c30d5d88a9533e0c42dcff86
R_dhs/03_build_analysis_dataset.R,R_dhs/03_build_analysis_dataset.R,retain_input_bridge,Only current WB health-spending/governance and historical HIV snapshot preparation; retains a mixed legacy panel path pending extraction of input-only functions.,962,993b7407ab3f1ad82f339e8e3867a7856f8a8b7359c0d94b0a84759ee2dc542d
R_dhs/04_fit_main_models.R,archive/2026-09-15-code-audit/R_dhs/04_fit_main_models.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,259,dd7633cce8e132d1163e3e1e21636b40087c012f04a41f0e99d7ff123f9b66b9
R_dhs/05_make_main_plots.R,archive/2026-09-15-code-audit/R_dhs/05_make_main_plots.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,407,7058ea052438c87443902ce616166581acd2f83c17782f0f2d26f89995a5bc2f
R_dhs/06_sensitivity_samples.R,archive/2026-09-15-code-audit/R_dhs/06_sensitivity_samples.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,139,cc6b3afb61ffc4d05f15a1b954a82b2f2630f656961ff496959b94711b59d872
R_dhs/07_sensitivity_model_structure.R,archive/2026-09-15-code-audit/R_dhs/07_sensitivity_model_structure.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,173,72fdaab139f232324f011c8b1be9639c548192f314cbd5b89bbbe09e442281af
R_dhs/08_sensitivity_likelihood.R,archive/2026-09-15-code-audit/R_dhs/08_sensitivity_likelihood.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,189,2d2d4056d538a63fca1d1039974600b54911cd57265747f1243fb9de8fbf50ce
R_dhs/09_validate_reproduction.R,archive/2026-09-15-code-audit/R_dhs/09_validate_reproduction.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,232,ef8c362ed7476d4ccb87e9322b937a2cfbdfbe9bd027a3ad73f458c874f7e405
R_dhs/10_time_surface_and_burden.R,archive/2026-09-15-code-audit/R_dhs/10_time_surface_and_burden.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,630,9bb9e1308af12871efc06d27f39adae48959c3f09162790ff805ec696de2d112
R_dhs/11_study_flow.R,R_dhs/11_study_flow.R,retain_active,Compatibility entry point for current CBH inclusion figure.,4,0baf0c4bda2fdb44f10b0e406ddd03b6c9d0a42bb37e471a9741304f175be531
R_dhs/12_triangulation_rct.R,archive/2026-09-15-code-audit/R_dhs/12_triangulation_rct.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,137,733f9f4c89f9a46f3993362f7cd49131629166a8d92e1f4dcb239f7d1138ce6d
R_dhs/13_ihme_share.R,archive/2026-09-15-code-audit/R_dhs/13_ihme_share.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,151,9cce39c40aa5d9c22afeb80d60d6ff33f12e3051f717ecaa62ab41ac1b6d7980
R_dhs/14_manuscript_figures.R,archive/2026-09-15-code-audit/R_dhs/14_manuscript_figures.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,262,748f72d913494fd7a0e2614f2feec256ec46b44f1ab8a591b30e6b09cd33fd0c
R_dhs/15_specification_forest.R,archive/2026-09-15-code-audit/R_dhs/15_specification_forest.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,132,9cce53081f18494214e4b1b8203ce8d7045b89a86c8270c8e630a1ce59c20bd6
R_dhs/16_sensitivity_random_effects.R,archive/2026-09-15-code-audit/R_dhs/16_sensitivity_random_effects.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,197,d66769f5c5181bf95a6f007c51b29205e0fc3624693de8a8154681310e79ce43
R_dhs/17_sensitivity_timing.R,archive/2026-09-15-code-audit/R_dhs/17_sensitivity_timing.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,641,420de23bc34e2e01971c2c9b186ad1f0ea084073287a59b26b982e00b8f0e6ef
R_dhs/18_age_windows_5to14.R,archive/2026-09-15-code-audit/R_dhs/18_age_windows_5to14.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,282,21bfe230e262dd54e364eea5803accf7d8f1885a0ce8e6962b359204bf014966
R_dhs/19_period_stratified.R,archive/2026-09-15-code-audit/R_dhs/19_period_stratified.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,464,32e90e67d3679c4d64ddf45e358d1162877f3dba6d2b8352ab8f4880fa036a03
R_dhs/20_subregion_stratified.R,archive/2026-09-15-code-audit/R_dhs/20_subregion_stratified.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,485,25157670ed7c49253b660cff21f42cfc2359f3f48ac94138942f7c3bf04c76a8
R_dhs/21_map_vs_measured_prevalence.R,archive/2026-09-15-code-audit/R_dhs/21_map_vs_measured_prevalence.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,194,a5b309a0278d59f1440d2b633198f12311aab923096dc1ae5cb846fa9e9069db
R_dhs/22_seasonality_of_fieldwork.R,archive/2026-09-15-code-audit/R_dhs/22_seasonality_of_fieldwork.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,437,ed2475dfa7d0e75cde050557e9277d89bb279ce48561d117fd36c66f56de6367
R_dhs/23_deprivation_proxy.R,archive/2026-09-15-code-audit/R_dhs/23_deprivation_proxy.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,125,c34a4020fea0aae3712194dd43f7422af6f0024b8bbe7b03d0c0f54d5a2f5329
R_dhs/24_intervention_targeting.R,archive/2026-09-15-code-audit/R_dhs/24_intervention_targeting.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,194,aef19b503c8467142e6b9edaf1597e2097d91c124bfe1700161f35906379d1b6
R_dhs/25_national_burden_lagged.R,archive/2026-09-15-code-audit/R_dhs/25_national_burden_lagged.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,156,bf383418e69616de175df56f37393ff626c04dd6e240b806a0eccfd797e8d530
R_dhs/26_audit_survey_coverage.R,archive/2026-09-15-code-audit/R_dhs/26_audit_survey_coverage.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,161,a6ea05d69151ea9e6310a1888c933e3226595be02c7b2528e045d8099be05096
R_dhs/27_horizon_lag_selection.R,archive/2026-09-15-code-audit/R_dhs/27_horizon_lag_selection.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,636,93d0ea397bef4a3133e0fe1233b7414017c7988d6dba2ffb51c3da8853282779
R_dhs/28_survey_map.R,archive/2026-09-15-code-audit/R_dhs/28_survey_map.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,126,10947657729ed5d7c2f892a9daf1cd9e7391a83b5bcd5e310fec6b9c5f61be23
R_dhs/29_subgroup_fits.R,archive/2026-09-15-code-audit/R_dhs/29_subgroup_fits.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,314,8f702258109554ae6353c7553e32e9639e6fa79dec992200904b51adf2249e77
R_dhs/30_brms_tensor_model.R,archive/2026-09-15-code-audit/R_dhs/30_brms_tensor_model.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,264,30e9db338f763145e9280f166782a6c288840836b7e9c38b3d8dbf0fdd12cc16
R_dhs/31_brms_subgroup_fits.R,archive/2026-09-15-code-audit/R_dhs/31_brms_subgroup_fits.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,487,fc1f836d286c7998c2186ea7889bcfd7b4c3ff3df9c11079b145c312da7e4ba0
R_dhs/32_brms_three_way.R,archive/2026-09-15-code-audit/R_dhs/32_brms_three_way.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,276,99b65f37194b468ae03675c8acc825ce080af5d8953c3372a5b9ce6515a99c7a
R_dhs/33_key_results.R,archive/2026-09-15-code-audit/R_dhs/33_key_results.R,replace_entry_point,Superseded orchestration/report selection; preserve original and replace with explicit current-plan routing.,201,d469d44f5687e12c2c4c7f9bf6a396d88ddfdeee70a8b0ebad1ee213f945df10
R_dhs/34_brms_model_ladder.R,archive/2026-09-15-code-audit/R_dhs/34_brms_model_ladder.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,310,b8ae69a4a389c6ec27afdbf0bc467c3313a3a0a4cdc018f071c278975998959e
R_dhs/35_brms_ladder_kfold.R,archive/2026-09-15-code-audit/R_dhs/35_brms_ladder_kfold.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,249,ed0ec58dd736e587ff1ca9dfcff32fa04ee77e2b8cec36f101cd822450aa237d
