original_path,current_path,action,reason,lines,sha256
R_dhs/46_person_time_covariate_forest.R,archive/2026-09-15-code-audit/R_dhs/46_person_time_covariate_forest.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,81,cb999780841256d83506a41f923a24a1c717332002101133f2bf45c4ffd4bccf
R_dhs/47_person_time_joint_model.R,archive/2026-09-15-code-audit/R_dhs/47_person_time_joint_model.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,187,16f010d1cd8aaedec6aca5e1dffe78e22301576a253c247d660c6622d521698b
R_dhs/48_person_time_burden_nga_cod.R,archive/2026-09-15-code-audit/R_dhs/48_person_time_burden_nga_cod.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,310,3762c81c1dfa9f03a79373ee9eb25250cc6ff25f6f06d5412fca1ddadc39f4db
R_dhs/49_person_time_burden_ssa.R,archive/2026-09-15-code-audit/R_dhs/49_person_time_burden_ssa.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,550,0e33c3aee53d687c453a27920155a9766efe25856ca151025484c9e58851d0d3
R_dhs/50_age_specific_attributable.R,archive/2026-09-15-code-audit/R_dhs/50_age_specific_attributable.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,192,46f146fb2a8e2c592396383e1bdab42d17e8bd5d7839256c9d5b744b1025a4c5
R_dhs/run_all.R,archive/2026-09-15-code-audit/R_dhs/run_all.R,replace_entry_point,Superseded orchestration/report selection; preserve original and replace with explicit current-plan routing.,189,e1dd7b3b1be70294d61dd300e932fbf68c3cf49a2ca8b2f8a7ea141210f3e5c2
R_dhs/specifications/adebayo_2005_mgcv.R,archive/2026-09-15-code-audit/R_dhs/specifications/adebayo_2005_mgcv.R,archive,Adebayo alternative specification is a historical reference; the selected model uses the Burstein-style seven-band CBH design.,112,644c789f185227ec6b5473b5a5378b2d2e015891888426038f38272c30f87ac0
run_all.R,archive/2026-09-15-code-audit/run_all.R,replace_entry_point,Superseded orchestration/report selection; preserve original and replace with explicit current-plan routing.,18,dec2dff632677ca690e95285d40a222b1ed5eab45d476aeaf0aab60a29e449e3
results/dhs_rebuild/covariate_audit/apply_label_classes.R,archive/2026-09-15-code-audit/results/dhs_rebuild/covariate_audit/apply_label_classes.R,archive,One-off WASH audit or six-band refit; excluded from primary adjustment and superseded by retained StatCompiler/input audit documentation.,58,4d60e52241da2e6242dd0d1434909a1cdf6d184219f4074ac02ea8ccfabeec10
results/dhs_rebuild/covariate_audit/audit_household_labels.R,archive/2026-09-15-code-audit/results/dhs_rebuild/covariate_audit/audit_household_labels.R,archive,One-off WASH audit or six-band refit; excluded from primary adjustment and superseded by retained StatCompiler/input audit documentation.,85,41d18e714b7dd5b6f9a2601e3db54954b0ce870e8864f399cba348ff61f2c56c
results/dhs_rebuild/covariate_audit/fetch_statcompiler_wash.R,archive/2026-09-15-code-audit/results/dhs_rebuild/covariate_audit/fetch_statcompiler_wash.R,archive,One-off WASH audit or six-band refit; excluded from primary adjustment and superseded by retained StatCompiler/input audit documentation.,18,1fd1727d98d612b882006788e3330ff532b67765aa1181100c5a4b3bda6ee3cc
results/dhs_rebuild/covariate_audit/wash_sensitivity_refit.R,archive/2026-09-15-code-audit/results/dhs_rebuild/covariate_audit/wash_sensitivity_refit.R,archive,One-off WASH audit or six-band refit; excluded from primary adjustment and superseded by retained StatCompiler/input audit documentation.,57,fdcb692096907a31a51e18706b5a470c564e25958008db1e5411c152dca5282e
