survey,interview_year,verdict,regions,region_level,boundary,births_last5y,u5_deaths_last5y,reason,source
KEN(Mombasa Informal Settlements)_2009_MICS4_v01_M,2009,exclude,1,single county / province / settlement,County polygons exist in KE2014DHS,499,39,"Sub-national sample (one county, one former province or informal settlements), not nationally representative; excluded for consistency with the national-survey design.",direct check
KEN(Nyanza Province)_2011_MICS4_v01_M,2011,exclude,6,admin-1 counties (six of former Nyanza Province),All six county names match KE2022DHS county polygons,5059,377,"Sub-national (6 of 47 counties), excluded under the national-survey rule. It is the strongest sub-national candidate if that rule changes (377 recent deaths, exact county polygons), but its wealth quintiles are ranked within Nyanza only and would have to be rebuilt against a national reference.","direct check, with audit agent and adversarial check"
KEN(Turkana County)_2013_MICS5_v01_M,2013,exclude,1,single county / province / settlement,County polygons exist in KE2014DHS,1014,46,"Sub-national sample (one county, one former province or informal settlements), not nationally representative; excluded for consistency with the national-survey design.",direct check
LSO_2018_MICS6_v01_M,2018,exclude,10,admin-1 (10 districts),"HH7A districts match the LS2004/2009/2014/2023 DHS boundaries (10 districts; spelling differences BOTHA-BOTHE vs Butha-Buthe, QACHAS NEK vs Qacha's Nek). Irrelevant because there is no MAP surface.",2813,172,"The data are otherwise complete and district-matchable, but Lesotho has no Malaria Atlas Project prevalence surface, so there is no exposure value for any region.",audit agent + adversarial check pending
MDG(South)_2012_MICS4_v01_M,2012,exclude,4,admin-1 (4 southern regions only),"The 4 regions (Anosy, Androy, Atsimo Atsinanana, Atsimo Andrefana) match MD2008DHS region polygons by name.",2972,207,"Two of the 13 required covariates (wasting, stunting) are entirely absent because the survey had no anthropometry, so it cannot enter the complete-case primary analysis. It could only enter with covariate imputation, and even then undated deaths and the 4-region southern-only coverage are further caveats.",audit agent + adversarial check pending
MDG_2018_MICS6_v01_M,2018,include,22,admin-1 (22 regions as of 2018),"Matches MD2008DHS exactly: 22 regions, Analamanga to Sava (MICS AMORON'I MANIA vs DHSREGEN Amoron'i Mania). MD2021DHS splits Analamanga into capital and rest, so use the MD2008DHS polygons.",12678,641,"Large, nationally representative survey with a complete birth history, every covariate present or routinely derivable (WHO z-scores, card plus recall vaccination), and 22 admin-1 regions that reuse the MD2008DHS polygons. It fills the 2013-2018 gap between the 2008 and 2021 DHS.",audit agent + adversarial check pending
MLI_2015_MICS5_v01_M,2015,include,8,"admin-1 (regions: Kayes, Koulikoro, Sikasso, Segou, Mopti, Tombouctou, Gao, Bamako; Kidal not surveyed)",Matches 8 of the 9 region polygons in ML2018DHS (and ML2006DHS/ML2023DHS) by name. REGNAME spells 'Toumbouctou' but DHSREGEN has 'Tombouctou'; Segou vs Ségou. Drop the Kidal polygon. No new boundary source is needed.,16703,1184,"The birth history is complete, all 13 covariates are available or routinely derivable, WHO z-scores are supplied, and the 8 admin-1 regions match existing Mali DHS polygons by name. The only definitional caveats are education as level plus grade and delivery place for the last 2 years only.",audit agent + adversarial check pending
MOZ_2008_MICS3_v01_M,2008,include,11,admin-1 provinces,Matches the 11 provinces of MZ2003/2011/2022 DHS,12269,1259,Portuguese variable names; WHO z-scores in who_z.sav.,direct check
MRT_2011_MICS4_v01_M,2011,include_with_work,12,"admin-1 (wilayas), with Inchiri absent","MR2020DHS has 14 polygons: Nouakchott Nord/Ouest/Sud and a combined 'Tiris Zemour et Inchiri'. MICS 2011 has a single Nouakchott, so dissolve the three DHS Nouakchott polygons. Inchiri does not appear in MICS 2011: the moughataa codes show Tirs-ezemour has only 3 moughataas, which matches Tiris Zemmour alone. So the DHS combined polygon is larger than the surveyed region. The other 9 wilayas match by name after a spelling crosswalk (Hodh charghy = Hodh Echargui, Hodh Gharby = Hodh Gharbi, Dakhlett Nouadibou = Dakhlet Nouadhibou).",9368,517,"The birth history is complete and all 13 covariates are derivable, including WHO z-scores. However, Tiris Zemmour was surveyed without Inchiri, and the existing MR2020DHS polygon combines the two, so a Tiris Zemmour-only polygon (new boundary source) or an explicit approximation decision is needed, plus a Nouakchott dissolve.",audit agent + adversarial check pending
MRT_2015_MICS5_v01_M,2015,include,13,"admin-1 (wilayas; Nouakchott as a single unit; Inchiri separate, with only 123 recent births and 10 deaths)","MR2020DHS (14 polygons) can be reused. Dissolve Nouakchott Nord/Ouest/Sud into one Nouakchott (the pre-2014 wilaya), and merge the MICS Tirs-ezemour and Inchiri into one survey region to match the 'Tiris Zemour et Inchiri' polygon. That gives 12 survey regions. The other 10 match by name with a spelling crosswalk. No new boundary source is needed.",10697,510,"The birth history is complete, all 13 covariates are available or routinely derivable with WHO z-scores, and the regions map onto existing MR2020DHS polygons after a routine dissolve and merge.",audit agent + adversarial check pending
MWI_2006_MICS3_v01_M,2006,include,3,admin regions,Matches the 3 regions of every Malawi DHS,24358,2075,WHO z-scores in who_z.sav; national series complete.,direct check
MWI_2013_MICS5_v01_M,2014,include,3,districts aggregated to the 3 regions,31 districts aggregate to the 3 regions used by Malawi DHS,19190,1200,All covariates present.,direct check
MWI_2019_MICS6_v01_M,2020,include,3,admin regions,Matches the 3 regions of every Malawi DHS,15243,657,All covariates present.,direct check
NGA_2016_MICS5_v01_M,2016,include,6,zone (grouping of admin-1 states); the admin-1 states are also available through HH7,"Zone labels match the 6 'Groups of States' in NG2013DHS, NG2018DHS and NG2024DHS exactly (North Central, North East, North West, South East, South South, South West). The state-to-zone mapping in the data is the standard one (checked by cross-tab). There is no state-level DHS boundary file in the study. The 37-state MAP admin-1 polygons in data/adm1_adjacency_NGA.rds (crosswalk FCT->Abuja, Nasarawa->Nassarawa) could be used if state resolution is wanted, as a new boundary source.",29276,2671,"Complete birth history. All 13 covariates are present or derivable, including WHO z-scores. Entry years 2011-2017. National series are complete and a MAP surface exists. Zones match the existing NG DHS boundaries. This is a separate sample from NG2013/NG2018 DHS, not a duplicate. Routine work: a MICS-to-DHS variable map (common to all MICS surveys), an education-years map with a rule for the 'Non-formal' category, and a flag for the 2-year delivery window.",audit agent + adversarial check pending
NGA_2021_MICS6_v01_M,2021,exclude,6,zone (grouping of admin-1 states); the admin-1 states are also available through HH7,"zone matches the 6 zones in NG2018DHS and NG2024DHS exactly, and the state-to-zone mapping is standard. For states, the 37-polygon MAP admin-1 set in data/adm1_adjacency_NGA.rds would be a new source.",27305,2149,"The birth history, regions and the other 11 regional covariates are usable. Stunting and wasting cannot be computed because no heights or weights were collected, so the survey cannot enter the complete-case primary. It could enter the imputed-covariate sensitivity version (primary_map_regional17_imputed_gamma2_v4), which imputes whole-survey nutrition gaps with mice.",audit agent + adversarial check pending
SEN(Dakar City)_2015_MICS5_v01_M,2015,exclude,4,"admin-2 departements (Dakar, Guediawaye, Pikine, Rufisque) within a single region (Dakar)","No match. The Senegal DHS boundaries in the study (SN2014-SN2019DHS) are 4 groups of regions (Centre/Nord/Sud/Ouest), and Dakar lies inside 'Ouest'. Admin-2 polygons would need a new source.",4460,159,"This is a city-only, sub-national sample with admin-2 regions that cannot be matched to existing boundaries and no urban variable. It overlaps the Senegal continuous DHS that already covers Dakar in 2015-2016, so it should not enter the complete-case primary analysis.",audit agent + adversarial check pending
SLE_2017_MICS6_v01_M,2017,include,4,"admin-1 (old provinces: Eastern, Northern, Southern, Western)","HH7 matches the 4 province polygons in SL2013DHS and SL2008DHS by name (EAST=Eastern, etc.). It does NOT match SL2019DHS, which splits North Western from Northern (5 provinces). The 14 HH7A districts have no existing boundary in the study and would need a new source if a finer level were wanted.",11715,834,"The birth history is complete with near-complete dates, all 13 covariates are available or routinely derivable with WHO z-scores, and the 4 regions match the existing SL2013DHS/SL2008DHS province polygons.",audit agent + adversarial check pending
SOM(Northeast Zone)_2011_MICS4_v01_M,2011,exclude,3,regions within one zone,No DHS boundary,4632,214,Sub-national zone sample; no anthropometry; health expenditure absent before 2013.,direct check
SOM(Somaliland)_2011_MICS4_v01_M,2011,exclude,5,regions within one zone,No DHS boundary,4706,372,Sub-national zone sample; no anthropometry; health expenditure absent before 2013.,direct check
SOM_2006_MICS3_v01_M,2006,exclude,3,zones,No DHS boundary for Somalia,6676,643,"Health expenditure series absent before 2013, so every band entry fails complete-case selection; also needs new boundaries.",direct check
SSD_2010_MICS4_v01_M,2010,exclude,10,admin-1 states,No DHS boundary for South Sudan,9884,997,"Political stability absent before 2011 and health expenditure before 2017, so band entries in 2005-2010 fail complete-case selection.",direct check
STP_2014_MICS5_v01_M,2014,exclude,4,groups of districts,ST2008DHS has the same 4 groups,1960,80,"No UNAIDS child HIV incidence series for Sao Tome, the same reason the Sao Tome DHS is excluded; usable only in the imputed-covariate sensitivity.",direct check
STP_2019_MICS6_v01_M,2019,exclude,5,districts / groups of districts,ST2008DHS 4 groups after merging the two central districts,1766,24,"No UNAIDS child HIV incidence series for Sao Tome, the same reason the Sao Tome DHS is excluded. All other covariates are present (place of delivery is MN20, labelled in Portuguese). Only 24 recent under-five deaths; usable only in the imputed-covariate sensitivity.",direct check
SWZ_2010_MICS4_v01_M,2010,include,4,admin-1 (the 4 regions of Eswatini),"Matches SZ2006DHS exactly: DHSREGEN Hhohho, Manzini, Shiselweni, Lubombo (LEVELNA Regions).",2519,216,"The birth history is complete, all 13 covariates are available or routinely derivable (WHO z-scores present), the 4 admin-1 regions match the existing SZ2006DHS boundary, national series are complete, a MAP surface exists, and there is no duplicate DHS (the only Eswatini DHS in the study is 2006).",audit agent + adversarial check pending
SWZ_2014_MICS5_v01_M,2014,include,4,admin-1 (4 regions),"Matches SZ2006DHS exactly (Hhohho, Manzini, Shiselweni, Lubombo).",2380,128,"The birth history is complete with an imputed CMC and age at death in months, all 13 covariates are available or derivable from standard variables, the regions reuse the SZ2006DHS polygons, and national series, MAP surface and no DHS duplication are all fine.",audit agent + adversarial check pending
SWZ_2021_MICS6_v01_M,2021,include,4,admin-1 (4 regions),"Matches SZ2006DHS (names in upper case: HHOHHO, MANZINI, SHISELWENI, LUBOMBO).",2020,73,"The birth history is complete, all covariates are present (WHO z-scores, vaccination by card plus recall), there are 4 admin-1 regions matching SZ2006DHS, national series are complete and a MAP surface exists. Its main weakness is low statistical information (73 deaths).",audit agent + adversarial check pending
TCD_2019_MICS6_v01_M,2019,include_with_work,22,admin-1 provinces,TD2014DHS has 21 regions; merge MICS regions into its combined polygons (e.g. Borkou/Tibesti),22675,1927,"Regions merge cleanly into TD2014DHS (Ennedi Est+Ouest to Ennedi; Borkou to Borkou/Tibesti). But recall vaccination answers were largely not entered (coded 'donnee non saisie'), so DTP3 and measles need a card-only, imputation or bounding decision; card-only DTP3 is 22.7% of children 12-23 months.","direct check, corrected by audit agent and adversarial check"
TGO_2017_MICS6_v01_M,2017,include,7,"admin-1 plus a split capital: Maritime (excluding Greater Lomé), Plateaux, Centrale, Kara, Savanes, Lomé Commune, Golfe Urbain (last two 100% urban strata)","TG2013DHS has 6 'Regions': Centrale, Kara, Plateaux, Savanes, 'Maritime (Sans Agglomération de Lomé)', 'Grande Agglomération de Lomé'. Merging MICS Lomé Commune + Golfe Urbain (strata 61 and 71, both entirely urban) into Greater Lomé gives a 6-to-6 match, with covariates pooled using weights. I could not confirm that the DHS Greater Lomé polygon covers exactly the MICS Golfe Urbain extent.",4940,267,"National survey with a complete CBH and all covariates computable. Regions map onto the existing TG2013DHS polygons once the two Lomé strata are merged. Does not duplicate the 2013 DHS. Caveats: small sample (268 recent deaths), 2-year delivery window, off-grid electricity coding.",audit agent + adversarial check pending
ZWE_2009_MICS3_v01_M,2009,include,10,admin-1 provinces,Matches the 10 provinces of ZW2005/2010/2015 DHS,6793,500,Lowercase variable names; WHO z-scores in who_z.sav.,direct check
ZWE_2014_MICS5_v01_M,2014,include,10,admin-1 provinces,Matches ZW DHS 10 provinces,9521,571,All covariates present.,direct check
ZWE_2019_MICS6_v01_M,2019,include,10,admin-1 provinces,Matches ZW DHS 10 provinces,5747,285,All covariates present.,direct check
